Match1.feature :: [10] Fail when a path has the same variable in the same pattern	SKIP_OUTLINE
Match1.feature :: [11] Fail when matching a node variable bound to a value	SKIP_OUTLINE
Match1.feature :: [1] Match non-existent nodes returns empty	PASS
Match1.feature :: [2] Matching all nodes	PASS
Match1.feature :: [3] Matching nodes using multiple labels	SKIP_SETUP
Match1.feature :: [4] Simple node inline property predicate	PASS
Match1.feature :: [5] Use multiple MATCH clauses to do a Cartesian product	OUT_OF_SCOPE
Match1.feature :: [6] Fail when using parameter as node predicate in MATCH	OUT_OF_SCOPE
Match1.feature :: [7] Fail when a relationship has the same variable in a preceding MATCH	SKIP_OUTLINE
Match1.feature :: [8] Fail when a path has the same variable in a preceding MATCH	SKIP_OUTLINE
Match1.feature :: [9] Fail when a relationship has the same variable in the same pattern	SKIP_OUTLINE
Match2.feature :: [10] Fail when a path has the same variable in a preceding MATCH	SKIP_OUTLINE
Match2.feature :: [11] Fail when a node has the same variable in the same pattern	SKIP_OUTLINE
Match2.feature :: [12] Fail when a path has the same variable in the same pattern	SKIP_OUTLINE
Match2.feature :: [13] Fail when matching a relationship variable bound to a value	SKIP_OUTLINE
Match2.feature :: [1] Match non-existent relationships returns empty	PASS
Match2.feature :: [2] Matching a relationship pattern using a label predicate on both sides	PASS
Match2.feature :: [3] Matching a self-loop with an undirected relationship pattern	OUT_OF_SCOPE
Match2.feature :: [4] Matching a self-loop with a directed relationship pattern	OUT_OF_SCOPE
Match2.feature :: [5] Match relationship with inline property value	FAIL
Match2.feature :: [6] Match relationships with multiple types	PASS
Match2.feature :: [7] Matching twice with conflicting relationship types on same relationship	OUT_OF_SCOPE
Match2.feature :: [8] Fail when using parameter as relationship predicate in MATCH	OUT_OF_SCOPE
Match2.feature :: [9] Fail when a node has the same variable in a preceding MATCH	SKIP_OUTLINE
Match3.feature :: [10] Matching using self-referencing pattern returns no result	OUT_OF_SCOPE
Match3.feature :: [11] Undirected match in self-relationship graph	PASS
Match3.feature :: [12] Undirected match of self-relationship in self-relationship graph	PASS
Match3.feature :: [13] Directed match on self-relationship graph	PASS
Match3.feature :: [14] Directed match of self-relationship on self-relationship graph	PASS
Match3.feature :: [15] Mixing directed and undirected pattern parts with self-relationship, simple	FAIL
Match3.feature :: [16] Mixing directed and undirected pattern parts with self-relationship, undirected	FAIL
Match3.feature :: [17] Handling cyclic patterns	SKIP_SETUP
Match3.feature :: [18] Handling cyclic patterns when separated into two parts	OUT_OF_SCOPE
